,pareto_points,solution_points
0,[1.         0.94332379],[-0.18301424  0.03384159 -0.37929016 -0.16716065]
1,[1.         1.07231104],[-0.33163518  0.32974705 -0.3821901   0.1973784 ]
2,[1.         1.01340103],[-0.2818267   0.21018322 -0.3854192   0.0942633 ]
3,[1.         1.00226581],[-0.2749015   0.20546257 -0.35427666  0.06071457]
4,[1.         0.98792577],[-0.22398555  0.07020086 -0.36956817 -0.157336  ]
5,[1.         1.03043783],[-0.2831643   0.18003519 -0.3558951   0.06516238]
6,[1.         1.02786648],[-0.2931814   0.2275928  -0.39549083  0.14343265]
7,[1.         1.02828467],[-0.2771963   0.16237558 -0.37990668  0.04225781]
8,[1.         0.93227535],[-0.18519883  0.05277403 -0.38988662 -0.17748323]
9,[0.99441524 1.03640056],[-0.43941766  0.52457714 -0.30017552  0.23973009]
10,[1.         1.02624309],[-0.29576063  0.24430731 -0.4256169   0.17352046]
11,[1.         0.69687986],[ 0.04952618 -0.0769261  -0.5877359  -0.19825643]
12,[1.         0.83926332],[-0.07367897 -0.04849528 -0.464513   -0.22561797]
13,[1.         1.03553295],[-0.27033356  0.127303   -0.3416718  -0.01690197]
14,[1.         0.70497268],[-0.02282929  0.01836057 -0.52243984 -0.22159654]
15,[0.99811754 1.13415325],[-0.36309826  0.34419024 -0.40224284  0.20691633]
16,[1.         1.03080356],[-0.27880147  0.16340697 -0.35686606  0.04015282]
17,[1.         0.99814671],[-0.276187    0.22027382 -0.34850755  0.07397109]
18,[1.         1.02643013],[-0.25864753  0.10687518 -0.3346921  -0.07041318]
19,[1.         1.02574253],[-0.2898596   0.21738112 -0.40715116  0.12983416]
20,[1.         0.90774274],[-0.17318437  0.05787828 -0.39849922 -0.18076517]
21,[1.        0.4095816],[ 0.28475192 -0.03009313 -0.90142876 -0.19036382]
22,[1.         1.00300789],[-0.26063898  0.15128997 -0.32698044 -0.03080113]
23,[1.         1.03596413],[-0.25834158  0.09181576 -0.36464593 -0.0711406 ]
24,[1.         1.03237808],[-0.270438    0.13280112 -0.36439264 -0.00496655]
25,[1.         1.00074863],[-0.24410793  0.10471936 -0.34586746 -0.11116972]
26,[1.         1.02049375],[-0.26629537  0.13953596 -0.36535537 -0.0112728 ]
27,[1.         1.01524973],[-0.2552831   0.11438698 -0.33045584 -0.07352036]
28,[1.         0.79138845],[-0.07418351  0.0047403  -0.46603394 -0.22327499]
29,[1.         0.34330481],[ 0.4461005  -0.06673792 -1.1014177  -0.17404735]
30,[1.         1.02332294],[-0.28260064  0.19215043 -0.40428331  0.08865047]
31,[1.         1.03886473],[-0.2519492   0.07079817 -0.34970787 -0.110512  ]
32,[1.         1.03382766],[-0.26005185  0.09970181 -0.3667669  -0.05946557]
33,[1.         0.60874611],[ 0.05919829  0.00368457 -0.6236955  -0.21327776]
34,[0.99624941 1.13261604],[-0.52582407  0.5987502  -0.34642962  0.2317256 ]
35,[1.         1.05360031],[-0.3164149   0.2834833  -0.40674853  0.20304424]
36,[1.        0.6830889],[-0.01060948  0.02421378 -0.5366778  -0.22030903]
37,[1.         1.01357985],[-0.2744108   0.18015568 -0.37276822  0.04574092]
38,[1.        1.0181036],[-0.23817132  0.06433582 -0.36067814 -0.14473717]
39,[1.         0.93213004],[-0.18474832  0.0519466  -0.34035772 -0.14590952]
40,[1.         0.67213857],[ 0.01747757 -0.00753568 -0.57416195 -0.21762094]
