lat_block,lon_block,count
0.66,0.37,2749
0.659,0.358,2277
0.551,0.769,2091
0.646,0.399,1902
0.646,0.352,1864
0.637,0.40700000000000003,1750
0.645,0.417,1681
0.848,0.427,1524
0.5660000000000001,0.321,1489
0.67,0.337,1427
0.747,0.322,1402
0.6930000000000001,0.495,1352
0.837,0.47300000000000003,1350
0.592,0.387,1349
0.735,0.449,1340
0.616,0.28700000000000003,1339
0.64,0.62,1300
0.631,0.398,1293
0.807,0.521,1270
0.663,0.503,1255
0.779,0.514,1247
0.73,0.557,1242
0.577,0.339,1222
0.653,0.504,1218
0.773,0.307,1189
0.855,0.403,1161
0.594,0.436,1152
0.654,0.36,1145
0.752,0.382,1133
0.674,0.528,1116
0.87,0.187,1111
0.782,0.343,1109
0.78,0.364,1107
0.657,0.418,1104
0.649,0.729,1100
0.8130000000000001,0.382,1099
0.843,0.455,1097
0.674,0.28200000000000003,1094
0.777,0.28700000000000003,1092
0.7010000000000001,0.709,1092
0.8260000000000001,0.304,1090
0.725,0.444,1065
0.799,0.578,1065
0.724,0.438,1059
0.625,0.562,1047
0.785,0.612,1040
0.726,0.531,1037
0.655,0.5760000000000001,1033
0.648,0.387,1026
0.54,0.255,1020
0.663,0.354,1013
0.923,0.433,1004
0.616,0.435,1003
0.638,0.41600000000000004,1003
0.65,0.537,1001
0.74,0.526,998
0.709,0.616,990
0.655,0.5730000000000001,990
0.664,0.33,988
0.595,0.35000000000000003,979
0.625,0.581,964
0.5660000000000001,0.20800000000000002,963
0.768,0.332,962
0.5730000000000001,0.317,959
0.715,0.66,952
0.34400000000000003,0.528,942
0.40800000000000003,0.656,941
0.7000000000000001,0.446,939
0.912,0.496,938
0.637,0.339,937
0.651,0.41100000000000003,936
0.7020000000000001,0.627,930
0.663,0.381,920
0.624,0.323,917
0.683,0.637,902
0.708,0.544,898
0.786,0.497,895
0.499,0.447,894
0.674,0.28500000000000003,892
0.895,0.363,884
0.657,0.203,880
0.844,0.443,879
0.621,0.334,879
0.648,0.314,875
0.612,0.538,869
0.705,0.263,867
0.713,0.386,867
0.533,0.427,866
0.811,0.495,862
0.838,0.289,861
